Model Name,FrameWork,Hardware type,Count,Precision,Batch Size,In tokens,Out tokens,TTFT,Latency,Power Avg,Power Peak,Energy
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,1,128,128,52.390452940016985,5.79685784317553,185.32078,196.028,11119.287859927656
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,2,128,128,49.92592893540859,5.869445569813252,248.63128,262.816,14917.92976225257
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,4,128,128,79.36266018077731,5.743868869263679,248.10511813643927,258.77,14911.170762805938
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,8,128,128,140.18966630101204,5.808102059178054,248.2611048252912,305.691,14920.547709055185
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,16,128,128,188.22400690987703,5.788645457010716,248.38618,298.338,14903.225761404514
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,1,256,256,49.86305488273501,11.312266142107546,248.91077166666665,260.036,14934.702686252116
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,2,256,256,80.6979676708579,11.460021978244184,247.880915,262.811,14872.909695226432
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,4,256,256,107.15543711557984,11.549970315769317,247.73353333333333,278.213,14864.063591848137
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,8,256,256,188.01411194726825,12.22708360524848,247.9074601328904,260.81,14924.085778674124
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,16,256,256,355.6718891486525,11.124190762639046,248.4679750830565,263.176,14957.826971864224
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,1,512,512,82.47193461284041,22.42983625503257,248.3011433333333,294.945,14898.122836004257
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,2,512,512,128.81694920361042,21.907744859345257,247.939075,284.224,14876.40134712839
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,4,512,512,198.84031265974045,22.238685878925025,248.1004509151414,261.91,14910.892035217286
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,8,512,512,358.5999417118728,24.31305763032288,248.3547508305648,263.128,14951.010363046647
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,16,512,512,716.437938157469,25.26280617993325,248.1194800664452,272.042,14936.847266354322
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,1,1024,1024,129.32242965325713,43.64577272022143,247.9214633333333,258.883,14875.34206825161
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,2,1024,1024,192.2828769311309,46.425976305734366,248.3918402662229,261.698,14928.404348167896
meta-llama/Llama-2-7b-hf,Transformers,NVIDIA A100-PCIE-40GB,1,torch.bfloat16,4,1024,1024,360.4266992770136,43.91727761179209,248.59716086235488,266.191,14990.465631205085
